Team;Set;Opp.Defence;Ballscreen;Ballscreen defense;Line up;Team fouls;Point difference;Shot clock (half court);Time;Offence start;Shot;Shot clock;Player;XP
8;3;1;1;1;1;1;1;19;1;3;3;4;44;0,87
8;3;1;1;1;1;1;1;18;1;2;1;5;4;1,42
8;6;1;1;1;1;1;1;22;1;2;4;19;5;1,58
8;3;1;1;1;1;2;1;18;1;4;4;7;5;1,58
8;6;1;1;1;1;2;2;22;1;2;4;14;5;1,58
8;6;1;1;1;1;3;2;22;1;2;1;19;5;1,47
8;2;1;1;1;23;4;2;18;2;4;1;16;22;1,9
8;6;1;1;1;31;4;2;22;2;2;3;12;10;0,87
8;6;1;1;1;31;5;2;23;2;1;4;20;4;1,46
8;5;1;1;1;31;5;3;22;2;2;1;11;84;1,86
8;19;1;2;2;1;5;3;19;2;4;3;6;4;0,47
8;5;1;1;1;1;5;3;18;2;4;4;8;5;1,58
8;4;1;2;4;23;1;4;21;3;4;3;9;8;0,78
8;16;1;2;4;23;1;3;21;3;3;1;15;5;1,47
8;16;1;2;3;23;1;3;21;3;1;3;9;10;1,14
8;6;1;1;1;23;1;3;23;3;2;3;19;23;1,01
8;2;1;1;2;6;1;3;20;3;4;2;6;4;0,69
8;3;1;2;2;33;1;3;20;3;4;2;3;90;0,83
8;7;1;1;1;33;2;2;20;3;3;3;10;4;1,08
8;7;1;1;1;11;2;2;14;3;6;1;1;23;1,4
8;7;1;2;3;11;2;2;18;4;3;3;1;44;0,38
8;6;1;1;1;11;2;1;23;4;2;1;20;4;1,9
8;6;1;1;1;11;2;2;21;4;2;4;19;5;1,58
8;16;1;2;3;11;2;1;18;4;4;4;8;44;1,34
8;6;1;1;1;11;3;2;23;4;2;1;22;44;1,9
8;16;1;2;4;11;3;2;19;4;3;4;7;23;1,66
8;16;1;2;3;11;4;2;20;4;4;4;15;5;1,58
8;3;1;1;1;1;1;2;19;5;4;1;5;5;0,98
8;6;1;1;1;1;1;2;22;5;2;1;20;4;1,9
8;5;1;1;1;1;1;2;17;5;4;3;1;4;0,47
8;7;1;2;4;1;1;2;20;5;3;3;6;23;1,01
8;6;1;2;4;1;1;2;22;5;3;3;18;4;1,41
8;16;1;1;1;1;1;2;22;5;2;4;10;44;1,34
8;5;1;2;2;24;2;3;23;6;1;3;9;23;1,01
8;4;1;2;2;34;2;3;19;6;4;2;4;90;0,55
8;6;1;2;2;34;2;3;22;6;2;3;16;90;0,9
8;6;1;1;1;34;2;4;22;6;2;3;19;90;0,9
8;19;1;2;3;34;2;3;18;6;3;3;10;5;1,02
8;4;1;2;2;1;2;4;18;6;4;1;9;5;1,96
8;6;1;1;1;1;2;4;23;6;1;1;21;4;1,9
8;16;1;2;2;1;2;4;8;6;3;1;1;5;1,96
8;4;1;2;2;2;1;5;22;7;4;1;16;5;0,98
8;6;1;1;1;2;1;5;23;7;1;1;21;5;1,96
8;4;1;2;3;25;3;5;14;7;7;2;6;44;1,05
8;5;1;1;1;25;3;4;21;7;3;1;9;5;1,96
8;6;1;1;1;25;3;4;20;7;2;1;17;4;1,9
8;6;1;1;1;25;3;5;23;7;1;4;22;8;1,8
8;2;1;1;1;12;4;5;19;8;3;2;14;4;1,38
8;6;1;1;1;12;4;5;23;8;1;4;21;90;1
8;16;1;1;1;12;4;5;19;8;3;3;15;5;0,78
8;6;1;1;1;12;4;4;18;8;3;1;14;5;1,47
8;2;1;1;1;20;4;5;20;8;4;1;15;8;1,9
8;5;1;1;1;20;4;4;19;8;3;3;9;4;1,08
8;6;1;1;1;16;4;5;22;8;2;3;20;10;1,14
8;3;1;2;4;16;4;5;18;8;3;1;2;8;1,9
7;19;3;2;3;1;1;1;17;1;3;3;5;5;0,34
7;19;3;1;1;1;1;1;22;1;4;1;15;8;1,42
7;6;3;1;1;1;1;1;21;1;2;3;16;23;1,01
7;5;3;1;1;1;1;1;23;1;2;1;13;4;0,95
7;6;3;1;1;24;1;1;23;1;1;1;22;44;1,9
7;6;3;1;1;24;1;2;22;1;2;1;18;5;1,47
7;19;3;2;3;24;1;1;18;1;3;3;2;4;1,41
7;4;3;2;3;16;2;2;21;2;3;3;13;27;0,9
7;7;3;2;4;5;2;2;20;2;2;3;8;90;0,9
7;7;3;2;3;1;2;3;18;2;4;3;3;23;1,32
7;6;3;1;1;1;2;3;22;2;2;1;19;8;1,9
7;6;3;1;1;2;2;3;23;2;1;1;21;4;1,9
7;6;3;1;1;2;1;3;24;3;1;1;22;44;1,9
7;16;3;1;1;1;3;2;20;3;3;3;12;23;1,32
7;6;3;1;1;1;3;3;22;3;2;1;21;22;1,9
7;6;3;1;1;1;3;3;23;3;1;1;21;4;1,9
7;6;3;1;1;11;3;3;21;3;2;1;15;5;1,47
7;7;3;1;1;11;3;3;17;3;2;1;5;8;0,95
7;16;3;1;1;24;4;3;20;3;1;1;13;4;0,95
7;5;3;2;4;24;4;4;20;4;2;3;5;23;1,32
7;16;3;1;1;24;4;4;20;4;3;3;15;5;1,02
7;7;3;1;1;24;4;4;19;4;4;3;9;90;0,9
7;5;3;1;1;20;4;4;20;4;1;3;13;27;0,69
7;6;3;1;1;20;4;4;23;4;1;1;21;27;1,86
7;6;3;1;1;20;4;5;23;4;2;1;20;90;1,86
7;2;3;1;1;11;4;5;20;4;3;1;18;4;0,95
7;16;3;1;1;1;1;5;18;5;2;3;9;4;1,08
7;16;3;2;3;1;1;6;20;5;4;3;6;23;1,01
7;6;3;1;1;1;1;7;22;5;2;3;16;23;1,32
7;2;3;1;1;1;1;6;20;5;3;4;13;5;1,58
7;5;3;1;1;1;2;6;21;5;3;2;13;5;1,02
7;6;3;1;1;1;2;7;23;5;1;1;22;4;1,9
7;3;3;1;1;1;2;7;19;5;3;1;15;8;1,9
7;6;3;1;1;1;2;7;21;5;1;3;20;23;1,32
7;2;3;2;4;26;2;8;20;6;2;1;9;23;1,4
7;6;3;2;3;26;2;7;21;6;3;3;15;5;0,78
7;2;3;1;1;31;2;7;20;6;3;4;11;4;1,46
7;5;3;1;1;31;3;7;19;6;2;3;14;27;0,69
7;5;3;1;1;31;3;7;19;6;2;3;5;4;1,08
7;5;3;1;1;31;3;6;18;6;3;3;7;10;1,14
7;6;3;1;1;1;1;6;21;7;2;1;20;8;1,9
7;6;3;1;1;1;1;6;21;7;2;3;16;4;1,41
7;3;3;2;4;1;2;6;20;7;3;1;9;5;1,96
7;6;3;1;1;1;2;7;22;7;1;3;17;4;1,41
7;6;3;1;1;1;2;7;20;7;3;3;18;23;1,32
